阿姨 (Ā yí),auntie (maternal family)
高考 (gāo kǎo),University entrance exams/ A-level exams
高兴 (gāo xìng),Happy
高兴 / 快乐 (gāo xìng/kuài lè),Happy/glad/pleased
个 (gè),General measure word
哥哥（gē ge）,Older brother
个人简历 (gè rén jiǎn lì),CV
跟/和 ... 不一样 (gēn/hé ... bù yí yàng),...is not the same as...
跟/和 ... 一样 (gēn/hé ... yí yàng),...is the same as...
更好 (gèng hǎo),even better
工程师 (gōng chéng shī),engineer
公分 (gōng fēn),centimetre
公共汽车 (gōng gòng qì chē),bus
公斤 (gōng jīn),kilogram
公里 (gōng lǐ),kilometre
公路 (gōng lù),road
公园 (gōng yuán),park
工资 (gōng zī),wage/salary
工作 (gōng zuò),to work/work
狗 (gǒu),dog
购物中心 (gòu wù zhòng xīn),shopping centre
故宫 (gù gōng),Forbidden City
关 (guān),to close
广告 (guǎng gào),advert
贵 (guì),expensive
果汁 (guǒ zhī),fruit juice
海边 (hǎi biān),seaside
... 还是 ... (hái shì),or... (question)
海鲜 (hǎi xiān),seafood
孩子 (hái zi),child
寒假 (hán jià),winter holiday
汉语 (hànyǔ),Chinese
好 (hǎo),good
好吃 (hǎo chī),delicious
好处 (hǎo chù),advantage
河 (hé),river
喝 (hē),to drink
和/跟 谁一起 (hé/gēn shéi yīqǐ),who with?
黑色 (hēi sè),black
恨 (hèn),to hate
很少 (hěn shǎo),seldom/rarely
红 (hóng),red
红包 (hóng bāo),red envelopes
红绿灯 (hóng lǜ dēng),traffic lights
洪水 (hóng shuǐ),flooding
后 (hòu),behind
后天 (hòu tiān),the day after tomorrow
湖 (hú),lake
护士 (hù shì),nurse
胡说 (hú shuō),nonsense, rubbish
护照 (hù zhào),passport
画 (huà),to draw/ to paint
滑冰 (huá bīng),to ice skate
花钱 (huā qián),to spend money
滑雪 (huá xuě),to ski
化学 (huà xué),Chemistry
花园 (huā yuán),garden
坏 (huài),bad
坏处 (huài chù),disadvantage
换 (huàn),to change
环境 (huán jìng),environment
换钱 (huàn qián),to change money
欢迎 (huān yíng),welcome
黄 (huáng),yellow
回 (huí),to return
灰 (huī),grey
婚礼 (hūn lǐ),wedding
火车 (huǒ chē),train
...或者... (huò zhě),or... (statement)
寄 (jì),to send (a letter)
记得 (jì de),to remember
几点 (jǐ diǎn),what time?
几点了 (jǐ diǎn le),what time is it?
饥饿 (jī è),hunger
机会 (jī huì),opportunity
季节 (jì jié),season
鸡肉 (jī ròu),chicken
计算器 (jì suàn qì),calculator
几岁 (jǐ suì),how old?
几月几日 (jǐ yuè jǐ rì),what month and what day?
家 (jiā),family
大衣 / 夹克 (dà yī/ jiá kè),jacket
家庭妇女 (jiā tíng fù nǚ),housewife
件 (jiàn),for clothes and glasses
减肥 (jiǎn féi),to lose weight
健康 (jiàn kāng),healthy
见面 (jiàn miàn),to meet
兼职 (jiān zhí),part time job
叫 (jiào),to call/ to be named
教 (jiào),to teach
角 (jiǎo),jiao (written)
脚 (jiǎo),foot
交朋友 (jiāo péng yǒu),to make friends, make friends
郊区 (jiāo qū),suburb
教室 (jiào shì),classroom
交通 (jiāo tōng),traffic
饺子 (jiǎo zi),dumpling
鸡蛋 (jī dàn),egg
节 (jié),measure word for lessons
结婚 (jié hūn),married, marry
姐姐 (jiě jie),elder sister
节日 (jié rì),festival/celebration
戒烟 (jièyān),to stop smoking
近 (jìn),close by
斤 (jīn),jin (old Chinese weight, 0.5kg)
今天 (jīn tiān),today
警察 (jǐng chá),policeman
经济 (jīng jì),economics
经验 (jīng yàn),experience
酒 (jiǔ),wine
老 / 旧 (lǎo / jiù),old
桔子 (jú zi),orange
觉得/以为/想 (jué dé/yǐ wéi/xiǎng),to think/to feel
觉得 (jué de),to feel
咖啡 (kā fēi),coffee
咖啡厅 (kā fēi tīng),cafe
开 (kāi),to open
开车 (kāi chē),to drive a car
看电视 (kàn diàn shì),to watch TV
看电影 (kàn diàn yǐng),to watch a film
看京剧 (kàn jīng jù),to watch Beijing opera
看小说 (kàn xiǎo shuō),to read a novel
烤 (kǎo),roast
刻 (kè),quarter
课 (kè),lesson
渴 (kě),thirsty
科目 (kē mù),subject
客人 (kè rén),guest
但是/可是 (dàn shì/kě shì),but
客厅 (kè tīng),lounge
科学 (kē xué),science
科学家 (kē xué jiā),scientist
空气 (kōng qì),air
空调 (kōng tiáo),air conditioning
口 (kǒu),for members of the family
裤子 (kù zi),trousers
快 (kuài),quick, to be fast, soon
块 (kuài),kuai (spoken)
筷子 (kuài zi),chopsticks
来 (lái),to come
蓝 (lán),blue
浪费 (làng fèi),wastage
浪费时间 (làng fèi shí jiān),waste time
老师 (lǎo shī),teacher
垃圾 (lā jī),rubbish
累 (lèi),tired
冷 (lěng),cold
离 (lí),away from
里 (lǐ),inside
离婚 (lí hūn),divorced
历史 (lì shǐ),history
礼物 (lǐ wù),present
理想 (lǐ xiǎng),dream/ideal
练体操 (liàn tǐ cāo),to practice gymnastics
联系 (lián xì),to make contact
凉快 (liáng kuai),cool
聊天 (liáo tiān),to chat
领带 (lǐng dài),tie
零用钱 (líng yòng qián),pocket money
礼堂 (lǐ táng),assembly hall
遛狗 (liù gǒu),to walk a dog
流利 (liú lì),fluent
流行歌曲 (liú xíng gē qǔ),pop song
龙舟 (lóng zhōu),dragon boat
绿 (lǜ),green
旅行 (lǚ xíng),to travel
旅行袋 (lǚ xíng dài),travel bag
旅游车 (lǚ yóu chē),coach
炉子 (lú zi),cooker
马 (mǎ),horse
麻烦 (má fan),troublesome
妈妈 (mā ma),mum
马上 (mǎ shàng),immediately
卖 (mài),to sell
买 (mǎi),to buy
买纪念品 (mǎi jì niàn pǐn),to buy souvenirs
买票 (mǎi piào),to buy a ticket
慢 (màn),slow, to be slow
忙 (máng),busy
毛 (máo),mao (spoken)
猫 (māo),cat
毛笔 (máo bǐ),chinese writing brush
毛衣 (máo yī),sweater
帽子 (mào zi),hat
每个月 (měi gè yuè),every month
美国 (měi guó),America
美丽 (měi lì),pretty
妹妹 (mèi mei),younger sister
每年 (měi nián),every year
美术 (měi shù),art
美术馆 (měi shù guǎn),art gallery
每天 (měi tiān),every day
每天晚上 (měi tiān wǎn shang),every evening
每天早上 (měi tiān zǎo shang),every morning
没意思 (méi yì si),boring
没有 (méi yǒu),has not
没有用 (méi yǒu yòng),useless
没有...那么好 (méi yǒu ... nà me hǎo),...is not as good as...
门 (mén),door
门票 (mén piào),entrance ticket
米 (mǐ),metre
米饭 (mǐ fàn),rice
迷路 (mí lù),to lose the way
面包 (miàn bāo),bread
免费 (miǎn fèi),free
面试 (miàn shì),job interview
面谈 (miàn tán),to discuss face to face
面条 (miàn tiáo),noodles
名片 (míng piàn),business card
名人 (míng rén),celebrity
明天 (míng tiān),tomorrow
明信片 (míng xìn piàn),postcard
目标 (mù biāo),aim
母亲 (mǔ qīn),mother
目的地 (mù dì dì),destination
哪 (nǎ),which?
那儿 (nà er),there
哪年 (nǎ nián),what year?
哪儿 (nǎr),where?
奶奶 (nǎi nai),grandmother (paternal family)
男孩 (nán hái),boy
难看 (nán kàn),ugly
南美洲 (nán měi zhōu),South America
男朋友 (nán péng yǒu),boyfriend
能力 (néng lì),skills
你 (nǐ),you
你的 (nǐ de),your/yours
你好 (nǐ hǎo),hello
你好吗? (nǐ hǎo ma),how are you?
你叫什么? (nǐ jiào shén me),what is your name?
你们 (nǐ men),you (plural)
你们的 (nǐ men de),your/yours (pl)
你属什么? (Nǐ shǔ shén me),what year were you born in?
年 (nián),year
年纪 (nián jì),age
年轻 (nián qīng),young
鸟 (niǎo),bird
鸟巢 (niǎo cháo),Bird's Nest
您贵姓? (nín guì xìng?),what is your name? (polite)
牛奶 (niú nǎi),milk
牛肉 (niú ròu),beef
农村 (nóng cūn),countryside
女儿 (nǚ'ér),daughter
女孩 (nǚ hái),girl
女朋友 (nǚ péng yǒu),girlfriend
暖和 (nuǎn huo),warm
欧洲 (ōu zhōu),Europe
爬山 (pá shān),to climb hills
胖 (pàng),fat
旁边 (páng biān),next to
跑步 (pǎo bù）,to run
朋友 (péng yǒu),friend
皮带 (pí dài),belt
便宜 (pián yi),cheap
漂亮 (piào liang),beautiful
瓶 (píng),for bottles, bottle
苹果 (píng guǒ),apple
汽车 (qì chē),car
汽车站 (qì chē zhàn),bus stop
气候 (qì hòu),climate
气候变化 (qì hòu biàn huà),climate change
汽水 (qì shuǐ),fizzy drink
前 (qián),in front
浅 (qiǎn),light (colour)/shallow
前天 (qián tiān),the day before yesterday
强 (qiáng),strong
乞丐 (qǐ gài),beggar
亲戚 (qīn qī),relatives
亲切 (qīn qiè),kind
请 (qǐng),to invite
请问... (qǐng wèn...),excuse me, may I ask...?
穷 (qióng),poor
秋天 (qiū tiān),autumn
去 (qù),to go
去电影院 (qù diàn yǐng yuàn),to go to the cinema
去健身房 (qù jiàn shēn fáng),to go to the gym
去哪儿 (qù nǎ'er),where to?
去...怎么走 (qù...zěn me zǒu),how do you get to...
全球变暖 (quán qiú biàn nuǎn),global warming
却 (què),but
裙子 (qún zi),skirt
热 (rè),hot
热闹 (rè nào),bustling
人口 (rén kǒu),population
认识 (rèn shi),to know (a person)
日/号 (rì/hào),day
肉 (ròu),meat
入口 (rù kǒu),entrance (building)
弱 (ruò),weak
赛车 (sài chē),car racing
赛马 (sài mǎ),horse racing
晒太阳 (shài tài yáng),to sunbathe
删除 (shān chú),to delete
山区 (shān qū),mountain area
上 (shàng),on top of
商店 (shāng diàn),shop
上网 (shàng wǎng),to go online
上午 (shàng wǔ),morning
上学 (shàng xué),to go to school
上瘾 (shàng yǐn),to be addicted (to something)
上載 (shàng zài),to upload
少 (shǎo),few
设备 (shè bèi),equipment
社会 (shè huì),society
社会实践 (shè huì shí jiàn),work experience
社交媒体 / 社交网站 (shè jiāo méi tǐ/shè jiāo wǎng zhàn),social media
谁 (shéi),who?
深 (shēn),dark (colour)/deep
身份证 (shēn fèn zhèng),identity card
什么 (shén me),what?
什么时候 (shén me shí hòu),when?
申请 (shēn qǐng),to apply for
升 (shēng),litre
圣诞节 (shèng dàn jié),Christmas
生活 (shēng huó),life
省钱 (shěng qián),save money/economical
生日 (shēng rì),birthday
生物学 (shēng wù xué),biology
是 (shì),to be
试 (shì),to try
是晴天 (Shì qíng tiān),bright/fine/clear/fair
食堂 (shí táng),dining hall/canteen
失业 (shī yè),unemployed
是阴天 (shì yīn tiān),overcast/cloudy
十字路口 (shí zì lù kǒu),crossroads
瘦 (shòu),thin
手 (shǒu),hand
收 (shōu),to get/to recieve
手工 (shǒu gōng),DT
售货员 (shòu huò yuán),shop assistant
手机 (shǒu jī),mobile phone
树 (shù),tree
书 (shū),book
书包 (shū bāo),school bag
蔬菜 / 青菜 (shū cài/qīng cài),vegetable
书房 (shū fáng),study
舒服 (shū fu),comfortable
暑假 (shǔ jià),summer holiday
书架 (shū jià),bookcase
叔叔 (shū shu),uncle (maternal family)
数学 (shù xué),maths
双 (shuāng),for pairs of
双人房 (shuāng rén fáng),double room
水 (shuǐ),water
水果 (shuǐ guǒ),fruit
睡觉 (shuì jiào),to sleep
说 (shuō),to say/speak
司机 (sī jī),driver
送礼物 (sòng lǐ wù),to give a present
岁 (suì),years old
虽然...但是... (suī rán...dàn shì...),although...but...
孙女 (sūn nǚ),granddaughter (paternal family)
孙子 (sūn zi),grandson (paternal family)
他 (tā),he/him
她 (tā),she/her
它 (tā),it
他的 (tā de),his
她的 (tā de),her/hers
它的 (tā de),its
他们 (tā men),they
他们的 (tā men de),their/theirs
太好了 (tài hǎo le),that's great!
台湾 (tái wān),Taiwan
弹钢琴 (tán gāng qín),to play the piano
弹吉他 (tán jí tā),to play the guitar
谈恋爱 (tán liàn ài),to date
汤 (tāng),soup
疼 (téng),pain
体育 (tǐ yù),PE
体育馆 (tǐ yù guǎn),sports centre, stadium, gymnasium
踢足球 (tī zú qiú),to play football
天安门 (tiān ān mén),Tiananmen
天气预报 (tiān qì yù bào),weather forecast
天坛 (tiān tán),Temple of Heaven
条 (tiáo),for long things
跳舞 (tiào wǔ),to dance
听音乐 (tīng yīn yuè),to listen to music
同事 (tóng shì),colleague
同意 (tóng yì),to agree
头发 (tóu fa),hair
图书馆 (tú shū guǎn),library
兔子 (tù zi),rabbit
袜子 (wà zi),socks
外 (wài),outside
玩 (wán),to play
碗 (wǎn),for bowls
晚 (wǎn),late
晚饭 (wǎn fàn),dinner
玩滑板 (wán huá bǎn),to skateboard
晚上 (wǎn shàng),evening
晚上好 (wǎn shàng hǎo),good evening
忘 (wàng),to forget
往 (wǎng),towards
网吧 (wǎng bā),internet cafe
往返票 (wǎng fǎn piào),return ticket
网民 (wǎng mín),internet user
网上约会 (wǎng shàng yuē huì),internet dating
网页 (wǎng yè),web page
网友 (wǎng yǒu),internet friend
网站 (wǎng zhàn),website
未婚 (wèi hūn),unmarried
为什么 (wèi shén me),why?
卫生间 / 厕所 / 洗手间 (wèi shēng jiān/cè suǒ/xǐ shǒu jiān),toilets
问 (wèn),to ask
我 (wǒ),I/me
我的 (wǒ de),my/mine
我很讨厌 (wǒ hěn tǎo yàn),I can't stand.../I don't like...
我很喜欢 (wǒ hěn xǐ huān),I like... (very much)
我们 (wǒ men),we
我们的 (wǒ men de),our/ours
卧室 (wò shì),bedroom
午饭 (wǔ fàn),lunch
物理 (wù lǐ),physics
舞龙 (wǔ lóng),dragon dance
污染 (wū rǎn),pollution/to pollute
舞狮 (wǔ shī),lion dance
洗 (xǐ),to wash
喜欢 (xǐ huān),to like
希望 (xī wàng),to wish/to hope
西药 (xī yào),Western medicine
洗衣机 (xǐ yī jī),washing machine
下 (xià),below
下大雪 (xià dà xuě),heavy snow
夏天 (xià tiān),summer
下午 (xià wǔ),afternoon
下小雨 (xià xiǎo yǔ),showery
下雪 (xià xuě),snow
下雨 (xià yǔ),rain
下载 (xià zài),to download
现金 (xiàn jīn),cash
现在 (xiàn zài),now
想 (xiǎng),I want to/ to think
香港 (xiāng gǎng),Hong Kong
橡皮 (xiàng pí),rubber
向前走 (xiàng qián zǒu),go ahead
相信 (xiāng xìn),to believe
向右拐 (xiàng yòu guǎi),turn right
向左拐 (xiàng zuǒ guǎi),turn left
校服 (xiào fú),school uniform
小时 (xiǎo shí),hour
小偷 (xiǎo tōu),thief
小学 (xiǎo xué),primary school
校长 (xiào zhǎng),headteacher
小镇 (xiǎo zhèn),small town
鞋 (xié),shoes
写 (xiě),to write
写日记 (xiě rì jì),to write a diary
谢谢 (xiè xie),thank you
信 (xìn),letter
新 (xīn),new
新加坡 (xīn jiā pō),Singapore
新年快乐 (xīn nián kuài lè),Happy New Year
新闻 (xīn wén),news
新鲜 (xīn xiān),fresh
信用卡 (xìn yòng kǎ),credit card
性别 (xìng bié),sex/gender
星期二 (xīng qī èr),Tuesday
星期几 (xīng qī jǐ),what day of the week?
星期六 (xīng qī liù),Saturday
星期天 / 星期日(xīng qī tiān/xīng qī rì),Sunday
星期三 (xīng qī sān),Wednesday
星期四 (xīng qī sì),Thursday
星期五 (xīng qī wǔ),Friday
星期一 (xīng qī yī),Monday
星星 (xīng xing),star
休息 (xiū xí),break time
学 (xué),to learn/ to study
学期 (xué qí),term
学生 (xué shēng),student
学校 (xué xiào),school
压力 (yā lì),pressure
鸭肉 (yā ròu),duck
亚洲 (yà zhōu),Asia
烟 (yān),cigarette
演出 (yǎn chū),to perform
严格 (yán gé),strict
眼睛 (yǎn jīng),eyes
颜色 (yán sè),colour
严肃 (yán sù),serious
演员 (yǎn yuán),actor
要 (yào),to want
药 (yào),medicine
邀请 (yāo qǐng),invitation
要是 / 如果...就... (yào shi/ rú guǒ... jiù...),if...then...
爷爷 (yé ye),grandfather (paternal family)
一边...,一边... (yī biān...,yībiān...),on the one hand...on the other hand...
意大利语 (yì dà lì yǔ),Italian
一点 (yī diǎn),a little
一定 (yí dìng),definite(ly)/certain(ly)
衣服 (yī fu),clothes
义工 (yì gōng),voluntary work
已经 (yǐ jīng),already
医生 (yī shēng),doctor
一些 (yì xiē),some/a few
一样 (yí yàng),the same
医院 (yī yuàn),hospital
椅子 (yǐ zi),chair
一...就... (yī...jiù...),as soon as...then...
因此 (yīn cǐ),because of this
银行 (yín háng),bank
饮食习惯 (yǐn shí xí guàn),eating habits
因为...所以... (yīn wèi...suǒ yǐ),because...therefore...
音乐 (yīn yuè),music
英国 (yīng guó),England
影响 (yǐng xiǎng),influence/to affect
用 (yòng),to use
右 (yòu),right
有 (yǒu),to have
有风 (yǒu fēng),windy
有害的 (yǒu hài de),harmful
友好 (yǒu hǎo),friendly
邮局 (yóu jú),post office
有空 (yǒu kòng),to have free time
有礼貌 (yǒu lǐ mào),polite
有名 (yǒu míng),famous
幽默 (yōu mò),humorous
有人 (yǒu rén),occupied, engaged
有时候 (yǒu shí hou),sometimes
有雾 (yǒu wù),foggy
有意思 (yǒu yì si),interesting
游泳 (yóu yǒng),to swim
有用 (yǒu yòng),useful
有云 (yǒu yún),cloudy
又...又... (yòu...yòu...),both...and...
鱼 (yú),fish
浴室 (yù shì),bathroom
元 (yuán),yuan (written)
远 (yuǎn),far
月 (yuè),month
月饼 (yuè bǐng),moon cake
月亮 (yuè liàng),moon
乐器 (yuè qì),musical instrument
越...越... (yuè...yuè...),more and more
杂志 (zá zhì),magazine
在 (zài),to be situated (in)
再见 (zài jiàn),goodbye
在旁边 (zài páng biān),beside
脏 (zāng),dirty
早 (zǎo),early
早饭 (zǎo fàn),breakfast
早上 (zǎo shang),early morning
早上好 (zǎo shàng hǎo),good morning
怎么 (zěn me),how?
怎么样 (zěn me yàng),how about it?
增加 (zēng jiā),increase
窄 (zhǎi),narrow
展览馆 (zhǎn lǎn guǎn),exhibition hall/gallery
站台 (zhàn tái),platform
战争 (zhàn zhēng),war
张 (zhāng),for flat things
找 (zhǎo),to look for/to find
照片 (zhào piàn),photograph
照相 / 拍照 (zhào xiàng/pāi zhào),to take a photo
这儿 (zhè er),here
针灸 (zhēn jiǔ),acupuncture
真糟糕 (zhēn zāo gāo),that's awful!
只 (zhī),for animals and birds
职业 (zhí yè),career
知道 (zhī dào),to know (a fact)/to be aware of (a person)
钟 (zhōng),clock
中国 (zhōng guó),China
中间 (zhōng jiān),in the middle of
中秋节 (zhōng qiū jié),Mid-autumn festival
中午 (zhōng wǔ),midday
中学 (zhōng xué),secondary school
重要 (zhòng yào),important
中药 (zhōng yào),Chinese medicine
周末 (zhōu mò),weekend
住 (zhù),to live
住房 (zhù fáng),housing
祝好 (zhù hǎo),best wishes/good luck
猪肉 (zhū ròu),pork
赚钱 (zhuàn qián),to earn money
桌子 (zhuō zi),table
紫 (zǐ),purple
自行车 (zì xíng chē),bike
棕 (zōng),brown
总是 (zǒng shì),always
粽子 (zòng zi),rice dumplings
走廊 (zǒu láng),corridor
嘴 (zuǐ),mouth
最好 (zuì hǎo),best
最坏 / 最差 (zuì huài/zuì chà),worst
最近 (zuì jìn),recently
罪行 (zuì xíng),crime
坐 (zuò),to sit
左 (zuǒ),left
做饭 (zuò fàn),to cook food
作家 (zuò jiā),writer
昨天 (zuó tiān),yesterday
作业 (zuò yè),homework
